"Grup","Akses_Sampel","Gen1","Gen2","Gen3"
"COPD","GSM4565403_batch1_JH_A1_1.CEL.gz",3222,79,3170
"COPD","GSM4565404_batch1_JH_A3_3.CEL.gz",2536,60,2591
"COPD","GSM4565405_batch1_JH_A5_5.CEL.gz",2143,70,2208
"COPD","GSM4565406_batch1_JH_A7_7.CEL.gz",2455,63,2827
"COPD","GSM4565407_batch1_JH_B1_9.CEL.gz",2816,83,3153
"COPD","GSM4565408_batch1_JH_B3_11.CEL.gz",2052,46,2236
"COPD","GSM4565409_batch1_JH_B5_13.CEL.gz",2391,69,2442
"COPD","GSM4565410_batch1_JH_B7_15.CEL.gz",2521,61,2629
"COPD","GSM4565411_batch1_JH_C1_17.CEL.gz",2575,65,2574
"COPD","GSM4565412_batch1_JH_C3_19.CEL.gz",2913,48,2644
"COPD","GSM4565413_batch1_JH_C5_21.CEL.gz",2321,54,2278
"COPD","GSM4565414_batch1_JH_C7_23.CEL.gz",2103,54,1979
"COPD","GSM4565415_batch1_JH_D1_25.CEL.gz",2711,66,2949
"COPD","GSM4565416_batch1_JH_D3_27.CEL.gz",2840,86,3045
"COPD","GSM4565417_batch1_JH_D5_29.CEL.gz",3044,87,3074
"COPD","GSM4565418_batch1_JH_D7_31.CEL.gz",3443,75,3467
"Control","GSM4565419_batch1_JH_E1_33.CEL.gz",2768,56,2625
"Control","GSM4565420_batch1_JH_E3_35.CEL.gz",2011,72,2131
"Control","GSM4565421_batch1_JH_E4_37.CEL.gz",2399,77,2311
"Control","GSM4565422_batch1_JH_E6_39.CEL.gz",3218,76,3387
"Control","GSM4565423_batch1_JH_E8_41.CEL.gz",2314,64,2262
"Control","GSM4565424_batch1_JH_F2_43.CEL.gz",2963,71,2879
"Control","GSM4565425_batch1_JH_F4_45.CEL.gz",3205,109,3382
"Control","GSM4565426_batch1_JH_F6_47.CEL.gz",2582,65,2628
"COPD","GSM4565427_batch2_AS_A1_LCM1.CEL.gz",5404,100,5461
"COPD","GSM4565428_batch2_AS_A3_LCM3.CEL.gz",5191,94,5005
"COPD","GSM4565429_batch2_AS_A5_LCM5.CEL.gz",4427,94,4069
"COPD","GSM4565430_batch2_AS_A7_LCM7.CEL.gz",4087,72,4562
"COPD","GSM4565431_batch2_AS_B1_LCM9.CEL.gz",4559,82,4465
"COPD","GSM4565432_batch2_AS_B3_LCM11.CEL.gz",5274,82,5087
"COPD","GSM4565433_batch2_AS_B5_LCM13.CEL.gz",5558,93,5357
"COPD","GSM4565434_batch2_AS_B7_LCM15.CEL.gz",2665,47,3192
"COPD","GSM4565435_batch2_AS_C1_LCM17.CEL.gz",3743,67,3621
"COPD","GSM4565436_batch2_AS_C3_LCM19.CEL.gz",4091,90,3730
"COPD","GSM4565437_batch2_AS_C5_LCM21.CEL.gz",3246,69,3197
"COPD","GSM4565438_batch2_AS_C7_LCM23.CEL.gz",3575,75,3627
"COPD","GSM4565439_batch2_AS_D1_LCM25.CEL.gz",4266,80,4365
"COPD","GSM4565440_batch2_AS_D3_LCM27.CEL.gz",3630,66,3529
"COPD","GSM4565441_batch2_AS_D5_LCM29.CEL.gz",4206,79,3883
"Control","GSM4565442_batch2_AS_D7_LCM31.CEL.gz",3513,88,3395
"Control","GSM4565443_batch2_AS_E1_LCM33.CEL.gz",3936,120,3881
"Control","GSM4565444_batch2_AS_E3_LCM35.CEL.gz",3669,66,3701
"Control","GSM4565445_batch2_AS_E5_LCM37.CEL.gz",3964,68,3938
"Control","GSM4565446_batch2_AS_E7_LCM39.CEL.gz",3466,57,3243
"Control","GSM4565447_batch2_AS_F1_LCM41.CEL.gz",3652,79,3572
"Control","GSM4565448_batch2_AS_F3_LCM43.CEL.gz",2718,51,2587
"Control","GSM4565449_batch2_AS_F5_LCM45.CEL.gz",3744,68,3738
"COPD","GSM4565450_batch3_AS_A1_JHG-1.CEL.gz",1596,62,1655
"COPD","GSM4565451_batch3_AS_A3_JHG-3.CEL.gz",1756,57,1878
"COPD","GSM4565452_batch3_AS_A5_JHG-5.CEL.gz",1154,41,1127
"COPD","GSM4565453_batch3_AS_A7_JHG-7.CEL.gz",1638,57,1704
"COPD","GSM4565454_batch3_AS_B1_JHG-9.CEL.gz",1573,42,1580
"COPD","GSM4565455_batch3_AS_B3_JHG-11.CEL.gz",1758,56,1913
"COPD","GSM4565456_batch3_AS_B5_JHG-13.CEL.gz",1024,47,1041
"COPD","GSM4565457_batch3_AS_B7_JHG-15.CEL.gz",1820,48,1834
"COPD","GSM4565458_batch3_AS_C1_JHG-17.CEL.gz",1791,44,1780
"COPD","GSM4565459_batch3_AS_C3_JHG-19.CEL.gz",1878,47,1816
"COPD","GSM4565460_batch3_AS_C5_JHG-21.CEL.gz",1660,46,1621
"COPD","GSM4565461_batch3_AS_C7_JHG-23.CEL.gz",1535,45,1524
"COPD","GSM4565462_batch3_AS_D1_JHG-25.CEL.gz",1608,46,1553
"COPD","GSM4565463_batch3_AS_D3_JHG-27.CEL.gz",2377,54,2521
"COPD","GSM4565464_batch3_AS_D5_JHG-29.CEL.gz",1896,56,2125
"Control","GSM4565465_batch3_AS_D7_JHG-31.CEL.gz",1615,46,1518
"Control","GSM4565466_batch3_AS_E1_JHG-33.CEL.gz",1617,43,1594
"Control","GSM4565467_batch3_AS_E3_JHG-35.CEL.gz",1621,55,1662
"Control","GSM4565468_batch3_AS_E5_JHG-37.CEL.gz",1042,38,1075
"Control","GSM4565469_batch3_AS_E7_JHG-39.CEL.gz",1795,48,1900
"Control","GSM4565470_batch3_AS_F1_JHG-41.CEL.gz",1792,57,1701
"Control","GSM4565471_batch3_AS_F3_JHG-43.CEL.gz",2004,42,1886
"Control","GSM4565472_batch3_AS_F5_JHG-45.CEL.gz",1752,44,1764
"COPD","GSM4565473_batch4_AS_A1_JHG-1.CEL.gz",1670,50,1694
"COPD","GSM4565474_batch4_AS_A3_JHG-3.CEL.gz",1329,56,1406
"COPD","GSM4565475_batch4_AS_A5_JHG-5.CEL.gz",1658,40,1729
"COPD","GSM4565476_batch4_AS_A7_JHG-7.CEL.gz",1545,48,1541
"COPD","GSM4565477_batch4_AS_B1_JHG-9.CEL.gz",1356,39,1392
"COPD","GSM4565478_batch4_AS_B3_JHG-11.CEL.gz",1703,45,1611
"COPD","GSM4565479_batch4_AS_B5_JHG-13.CEL.gz",1416,45,1537
"COPD","GSM4565480_batch4_AS_B7_JHG-15.CEL.gz",1506,42,1565
"COPD","GSM4565481_batch4_AS_C1_JHG-17.CEL.gz",1413,47,1587
"COPD","GSM4565482_batch4_AS_C3_JHG-19.CEL.gz",1272,42,1261
"COPD","GSM4565483_batch4_AS_C5_JHG-21.CEL.gz",1470,55,1534
"COPD","GSM4565484_batch4_AS_C7_JHG-23.CEL.gz",1485,42,1377
"COPD","GSM4565485_batch4_AS_D1_JHG-25.CEL.gz",1497,53,1514
"COPD","GSM4565486_batch4_AS_D3_JHG-27.CEL.gz",1649,41,1848
"COPD","GSM4565487_batch4_AS_D5_JHG-29.CEL.gz",2011,64,1950
"Control","GSM4565488_batch4_AS_D7_JHG-31.CEL.gz",1562,44,1594
"Control","GSM4565489_batch4_AS_E1_JHG-33.CEL.gz",1455,52,1570
"Control","GSM4565490_batch4_AS_E3_JHG-35.CEL.gz",1418,45,1406
"Control","GSM4565491_batch4_AS_E5_JHG-37.CEL.gz",1024,37,1059
"Control","GSM4565492_batch4_AS_E7_JHG-39.CEL.gz",1506,46,1548
"Control","GSM4565493_batch4_AS_F1_JHG-41.CEL.gz",1306,49,1471
"Control","GSM4565494_batch4_AS_F3_JHG-43.CEL.gz",1655,66,1735
"Control","GSM4565495_batch4_AS_F5_JHG-45.CEL.gz",1538,58,1597
"COPD","GSM4565496_batch5_AS_A1_2544-P.CEL.gz",2942,54,3010
"COPD","GSM4565497_batch5_AS_A3_2655-P.CEL.gz",3288,70,3239
"COPD","GSM4565498_batch5_AS_A5_2813-P.CEL.gz",3744,70,3752
"COPD","GSM4565499_batch5_AS_A7_2405-P.CEL.gz",3596,73,3539
"COPD","GSM4565500_batch5_AS_B1_2316-P.CEL.gz",3722,70,3893
"COPD","GSM4565501_batch5_AS_B3_2675-P.CEL.gz",3679,74,3513
"COPD","GSM4565502_batch5_AS_B5_2425-P.CEL.gz",3966,73,4223
"COPD","GSM4565503_batch5_AS_B7_2776-P.CEL.gz",4164,75,4341
"COPD","GSM4565504_batch5_AS_C1_5012-P.CEL.gz",2532,76,2677
"COPD","GSM4565505_batch5_AS_C3_5016-P.CEL.gz",2354,67,2529
"COPD","GSM4565506_batch5_AS_C5_5024-P.CEL.gz",1913,47,1962
"COPD","GSM4565507_batch5_AS_C7_5028-P.CEL.gz",3555,73,3604
"COPD","GSM4565508_batch5_AS_D1_5032-P.CEL.gz",2922,89,2734
"COPD","GSM4565509_batch5_AS_D3_5036-P.CEL.gz",3380,88,3181
"COPD","GSM4565510_batch5_AS_D5_5044-P.CEL.gz",4818,101,5049
"COPD","GSM4565511_batch5_AS_D7_5048-3-P.CEL.gz",3566,67,3473
"Control","GSM4565512_batch5_AS_E1_3365-P.CEL.gz",2570,72,2522
"Control","GSM4565513_batch5_AS_E3_3372-P.CEL.gz",2038,79,1993
"Control","GSM4565514_batch5_AS_E5_3380-P.CEL.gz",2260,62,2654
"Control","GSM4565515_batch5_AS_E7_3381-P.CEL.gz",3287,77,3104
"Control","GSM4565516_batch5_AS_F1_3383-P.CEL.gz",3378,150,3146
"Control","GSM4565517_batch5_AS_F3_5316-P.CEL.gz",2783,67,3016
"Control","GSM4565518_batch5_AS_F5_3366-2-P.CEL.gz",3013,64,2884
"Control","GSM4565519_batch5_AS_F7_5328-P.CEL.gz",2714,64,2888
