"","COPD","NC","MeanDecreaseAccuracy","MeanDecreaseGini","GeneSymbol"
"X7933733",1.86600086085256,1.84102077878371,2.02282318510124,1.3790230588317,"FAM13C"
"X8017885",1.74399781768891,2.00907461730783,1.95371951798343,1.69831446331446,"ABCA8"
"X8128247",1.00503781525921,1.72336305894018,1.75814023406773,0.69708839091192,"BACH2"
"X7980152",1.71673777933498,1.70101043343598,1.75627817786942,1.57973062184447,"LTBP2"
"X8179525",1.63616376319723,1.75149051861799,1.74072810880438,1.27178859536057,"SLC39A7"
"X8145889",1.26033033239347,1.72713014051766,1.71342835452065,1.13215007215007,"EIF4EBP1"
"X8121569",1.68948057210445,0.72523913499738,1.61689883593371,0.200489844683393,"LINC02880"
"X8032863",1.45747527137542,1.68119473245933,1.58971221680451,1.17707597618565,"MYDGF"
"X7975799",1.425933727357,1.00503781525921,1.42824159128896,0.27737037037037,"FLVCR2"
"X7939376",1.23658267265816,1.41267318788556,1.42808482568177,1.0037847805789,"LDLRAD3"
