"feature","importance.05","importance","importance.95","permutation.error","GeneSymbol"
"X8022674",1,1,1,0.0869565217391304,"CDH2"
"X7943051",1,1,1,0.0869565217391304,"NAALAD2"
"X7982056",1,1,1,0.0869565217391304,"SNORD115-25"
"X7982070",1,1,1,0.0869565217391304,"SNORD115-32"
"X8038885",1,1,1,0.0869565217391304,"SIGLEC14"
"X7952950",1,1,1,0.0869565217391304,"NINJ2-AS1"
"X8114787",1,1,1,0.0869565217391304,"GNPDA1"
"X7996819",1,1,1,0.0869565217391304,"CDH3"
"X8114583",1,1,1,0.0869565217391304,"SRA1"
"X8012464",1,1,1,0.0869565217391304,"LOC100128288"
